quantity_order,duration,machine_available,bom_depth,total_operations,total_bom_components,is_delayed
870,20,2,1,3,4,0
1304,38,5,6,8,89,1
1140,31,5,6,15,26,0
1105,17,3,1,9,17,0
1648,20,4,1,5,13,0
2179,55,3,3,24,36,1
476,22,6,6,3,43,0
1248,45,3,4,18,74,1
340,18,1,1,13,19,0
1492,47,5,5,20,77,1
2145,71,3,6,14,108,1
140,10,1,1,2,26,0
1695,45,4,4,15,49,0
779,25,3,3,13,46,1
2401,46,6,6,8,112,1
1525,18,6,1,6,20,0
2443,24,6,1,13,18,0
1225,21,5,5,5,44,0
965,29,3,5,20,81,1
2334,52,4,6,14,71,1
1194,17,3,1,3,25,0
469,25,5,6,7,8,0
31,3,1,1,1,22,0
2310,57,5,5,39,62,1
757,11,6,4,0,32,0
484,38,1,2,16,33,1
1092,25,6,2,18,34,0
2057,43,2,1,4,22,1
985,39,5,5,29,57,1
1816,38,5,3,21,43,0
199,20,4,3,19,38,1
572,22,3,2,15,33,0
1909,76,1,4,6,9,1
1277,82,1,2,6,40,1
1538,17,4,1,1,24,0
656,11,4,4,1,46,0
2078,59,3,3,14,48,1
2224,32,6,5,13,87,0
1307,48,3,5,30,35,1
2445,25,5,1,1,20,0
610,16,6,2,8,29,0
2373,60,2,1,13,19,1
2071,51,3,5,4,31,1
251,16,4,3,10,34,0
2051,51,6,5,39,74,1
1373,44,3,4,4,17,0
2149,123,1,6,28,71,1
1400,48,2,5,10,30,1
1488,25,5,5,4,7,0
785,121,1,6,48,111,1
44,19,1,4,31,57,1
2263,37,2,2,3,9,1
1965,46,5,5,14,35,0
1595,19,4,1,2,5,0
1031,34,6,5,21,55,1
1139,10,5,1,1,6,0
1510,36,3,4,16,73,1
712,52,1,5,11,26,1
2459,68,3,4,24,62,1
1589,34,4,4,16,51,1
171,9,3,2,9,19,0
211,22,5,5,27,48,0
1991,40,3,1,8,22,0
1005,18,4,1,1,25,0
2327,43,4,5,17,57,1
825,31,4,6,44,72,1
465,13,5,2,13,26,0
1285,35,4,2,15,34,0
1026,56,1,2,17,38,1
2353,41,4,1,9,23,0
347,21,3,4,17,38,0
888,44,6,6,15,105,1
1086,31,3,2,16,40,0
801,9,6,1,6,24,0
2274,47,3,1,11,21,0
773,32,5,4,33,58,1
2245,56,3,5,9,73,1
389,21,5,5,4,82,0
502,22,5,2,20,43,0
1190,13,4,2,2,22,0
2072,150,1,6,18,83,1
74,23,6,4,34,66,1
1377,17,4,2,5,10,0
1162,33,4,4,13,73,1
2037,20,5,1,3,14,0
1505,22,5,2,12,21,0
1172,11,6,1,2,4,0
1532,33,3,3,17,62,0
401,36,3,4,28,78,1
1708,32,4,3,2,45,0
428,32,2,2,19,41,0
2346,66,2,1,5,17,1
388,14,3,2,15,32,0
1806,48,2,3,19,54,1
2288,42,3,2,2,28,0
2098,68,5,6,43,97,1
2192,53,4,5,18,65,1
210,22,1,3,23,48,0
1873,18,4,2,3,34,0
789,14,3,1,0,14,0
512,13,3,2,1,39,0
2464,31,4,1,12,22,0
1761,36,6,5,29,36,1
814,20,3,2,1,42,0
2156,115,2,5,29,52,1
1905,58,2,3,18,46,1
1580,22,3,1,5,12,0
970,36,3,6,23,46,1
1495,22,6,3,15,25,0
1038,32,2,1,11,17,0
512,47,3,5,32,89,1
407,19,3,4,9,62,0
880,25,6,2,17,28,0
402,30,6,5,18,80,0
216,6,4,1,6,26,0
1048,13,6,1,8,23,0
1891,104,1,1,2,23,1
1494,56,2,1,7,23,0
873,21,4,2,14,44,0
573,42,1,3,8,16,0
1030,56,3,6,41,98,1
105,17,3,4,22,71,1
1933,31,4,2,19,42,0
1767,18,6,1,3,25,0
2288,51,3,2,3,16,0
1688,57,5,5,37,45,1
550,18,4,6,3,48,1
1069,46,1,1,4,8,0
1193,38,4,4,22,31,1
1732,61,2,1,7,18,0
1829,60,6,6,36,113,1
1607,27,6,4,10,24,0
805,25,4,6,10,115,1
1061,33,3,4,12,24,0
1653,40,3,3,13,30,0
1373,28,5,3,27,33,0
1991,26,5,2,7,42,0
1364,17,6,2,17,28,0
1673,29,5,4,17,33,0
1539,88,1,1,9,19,1
2048,41,5,5,6,48,1
1506,107,1,5,13,91,1
2247,22,5,1,1,25,0
1418,20,6,1,13,14,0
1410,32,6,3,17,54,0
1316,130,1,5,30,38,1
982,19,4,4,12,60,1
1778,40,6,6,19,80,1
1292,33,4,2,16,41,0
719,49,3,6,34,64,1
1489,102,1,3,22,25,1
1444,59,6,5,41,59,1
658,16,2,1,0,2,0
327,20,3,5,37,66,1
1267,36,4,4,34,52,1
693,24,6,3,18,59,0
673,32,1,1,3,20,0
2008,44,5,6,19,67,1
1641,61,2,4,2,27,1
1505,40,4,6,7,55,1
1146,22,3,2,7,21,0
1863,125,1,3,26,58,1
1530,79,2,4,31,53,1
2499,224,1,4,28,45,1
573,13,6,6,6,10,0
1301,14,5,1,1,25,0
1646,38,3,2,20,44,1
708,50,1,6,5,82,1
2170,52,4,4,27,33,1
11,12,6,3,15,59,0
651,20,6,4,31,45,0
2277,63,3,5,41,77,1
1599,35,6,3,20,48,0
864,16,4,3,13,25,0
1769,140,1,4,8,79,1
2442,34,3,1,10,15,1
1671,34,6,3,22,51,1
1163,34,6,5,10,73,1
1086,72,4,6,48,116,1
1717,20,5,1,1,10,0
1705,16,5,1,2,21,0
1743,20,6,1,10,11,0
1449,105,1,3,17,38,1
2304,44,3,1,10,26,0
845,28,6,4,34,48,1
212,11,2,1,9,16,0
132,19,3,5,14,60,0
410,11,5,2,10,34,0
776,18,6,5,10,27,0
303,30,4,3,27,33,0
2337,50,2,1,13,19,1
207,11,6,1,11,26,0
1940,149,1,4,31,76,1
2201,96,2,6,24,114,1
618,8,6,1,3,20,0
1157,107,1,5,27,58,1
196,21,2,3,24,56,1
1804,105,1,2,10,14,1
669,26,1,1,2,3,0
1965,52,2,2,0,40,1
2460,69,2,1,10,25,1
1379,62,1,3,4,27,1
1996,44,5,6,9,46,1
1544,103,2,5,41,68,1
156,24,6,3,13,61,0
1744,27,3,2,1,23,0
1853,21,4,1,3,20,0
498,30,1,2,1,24,0
1969,148,1,5,17,54,1
1673,37,4,3,12,18,0
2395,43,5,2,18,36,0
650,14,4,2,4,19,0
1812,96,2,5,19,52,1
1979,22,4,1,1,13,0
2208,138,1,2,10,36,1
1448,55,4,5,29,94,1
1644,30,3,1,9,25,0
272,31,6,6,37,84,1
1797,64,2,1,6,13,0
2201,58,4,6,27,115,1
2403,108,1,3,9,41,1
633,33,6,5,21,80,1
1026,36,2,1,6,16,0
890,101,1,6,16,93,1
2059,39,5,6,21,74,1
1337,38,3,3,10,30,0
2311,43,5,4,18,80,1
462,33,3,5,16,90,1
1193,29,4,4,23,39,1
2066,51,2,1,3,24,0
1692,55,4,5,31,86,1
2265,58,3,3,25,56,1
1164,18,3,1,7,12,0
